x	F(x)
-3.000	-17.000000
-2.900	-14.689000
-2.800	-12.552000
-2.700	-10.583000
-2.600	-8.776000
-2.500	-7.125000
-2.400	-5.624000
-2.300	-4.267000
-2.200	-3.048000
-2.100	-1.961000
-2.000	-1.000000
-1.900	-0.159000
-1.800	0.568000
-1.700	1.187000
-1.600	1.704000
-1.500	2.125000
-1.400	2.456000
-1.300	2.703000
-1.200	2.872000
-1.100	2.969000
-1.000	3.000000
-0.900	2.971000
-0.800	2.888000
-0.700	2.757000
-0.600	2.584000
-0.500	2.375000
-0.400	2.136000
-0.300	1.873000
-0.200	1.592000
-0.100	1.299000
0.000	1.000000
0.100	0.701000
0.200	0.408000
0.300	0.127000
0.400	-0.136000
0.500	-0.375000
0.600	-0.584000
0.700	-0.757000
0.800	-0.888000
0.900	-0.971000
1.000	-1.000000
1.100	-0.969000
1.200	-0.872000
1.300	-0.703000
1.400	-0.456000
1.500	-0.125000
1.600	0.296000
1.700	0.813000
1.800	1.432000
1.900	2.159000
2.000	3.000000
2.100	3.961000
2.200	5.048000
2.300	6.267000
2.400	7.624000
2.500	9.125000
2.600	10.776000
2.700	12.583000
2.800	14.552000
2.900	16.689000
